"gene_name"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ABCB9"	214.523291837257	-0.381218637354934	0.112944791006505	-3.37526533058951	0.000737445547392077	0.0250451651865412
"ABCC1"	307.932889200562	-0.133959413409821	0.204864295026804	-0.653893414625006	0.513180476945483	0.999968143772177
"ABCC10"	1962.02101345224	0.0577544663771063	0.170021447645011	0.339689299068269	0.734090521177314	0.999968143772177
"ABCC11"	6.91467161115294	-0.355884043357858	0.349543879203641	-1.018138392721	0.308612192137672	0.999968143772177
"ABCC12"	21.019457128685	-0.687454644797678	0.327251939000132	-2.10068929430362	0.0356682497102723	0.434675546128789
"ABCC13"	476.075280113935	0.205250518040085	0.129863938940947	1.58050433179467	0.113991415661844	0.860961233797099
"ABCC2"	554.892971233313	1.06848948123622	0.292571387466705	3.65206416966464	0.000260140856503179	0.0111337359541375
"ABCC4"	655.151107847446	0.0116032505022264	0.174872907967461	0.0663524764189624	0.947097205097679	0.999968143772177
"ABCC5"	3566.49004516318	0.186352515972593	0.0975643179858073	1.91004785171257	0.0561270524381151	0.57590653990943
"ABCC6P1"	2.88125064699936	0.38567889341649	0.797619564371688	0.483537403850296	0.62871420824522	0.999968143772177
"ABCC8"	12.1501216472206	-0.0536465693032229	0.321992535613537	-0.166608114691238	0.867678408348154	0.999968143772177
"ABCD1"	723.739243015798	0.370308260095863	0.331824522906286	1.11597616973127	0.26443233524675	0.999968143772177
"ABCD3"	1729.95996934727	0.265107193149231	0.0940193134807115	2.81970994399591	0.00480670762834813	0.106609411902794
"ABCD4"	1812.85231818026	0.00413950214019959	0.0912113749384542	0.0453836173722057	0.963801538975481	0.999968143772177
"ABCE1"	6244.30805651641	0.22153010451421	0.110123767223075	2.01164662361633	0.0442572009212463	0.497873058792431
"ABCF1"	2.28466593248725	-0.316087543579019	0.902541310872267	-0.350219474467639	0.726173992625408	0.999968143772177
"ABCF2"	4202.17604844503	0.00486946791982154	0.0945206402624128	0.0515175088351358	0.958913150343799	0.999968143772177
"ABCF3"	2091.50662546292	0.304277242858005	0.106675428524726	2.85236485164415	0.00433952608997739	0.0988411518847395
"ABCG1"	105.584259942761	-0.771097796059491	0.36487887923382	-2.11329797350468	0.0345752720765034	0.425961752748178
"ABCG2"	617.291138536911	-0.684067086381344	0.294218326173381	-2.32503221426876	0.0200702377152618	0.293886351972335
"ABCG4"	14.9195845335436	-0.0163748727828805	0.289565512164166	-0.0565498033950844	0.954903821597738	0.999968143772177
"ABCG8"	1.2626250404233	-0.0110640575565917	0.659117863127184	-0.0167861594648615	0.98660721148993	0.999968143772177
"ABHD1"	1.46156701510135	-0.01561162415162	0.948838928331155	-0.0164533976057224	0.98687268037249	0.999968143772177
"ABHD10"	934.024828752616	-0.0263739374451215	0.131979314068314	-0.199833872689095	0.84161050902204	0.999968143772177
"ABHD11"	513.413320920937	-0.460598129425998	0.108960789169859	-4.22719156987724	2.36626199220544e-05	0.00170225419439271
"ABHD12"	2124.4724326755	-0.0812947377778215	0.0777719731297994	-1.04529606883115	0.295886154008656	0.999968143772177
"ABHD12B"	4366.18553509156	0.305264568911311	0.246717303989498	1.23730506119791	0.215973849602622	0.999968143772177
"ABHD13"	737.278320932869	0.429055481822036	0.133050328602095	3.22476078285522	0.00126077969890685	0.0382507739159875
"ABHD14A"	40.9375398437903	-0.372083571074183	0.155640781763217	-2.39065601482424	0.0168183018926689	0.26082731190003
"ABHD14A-ACY1"	4.8649811490322	-0.24961850349158	0.383620083495981	-0.650691958608561	0.515245355139986	0.999968143772177
"ABHD14B"	755.551840128751	-0.524139854140221	0.124914936816015	-4.195974216536	2.71701157001272e-05	0.00188205354891708
"ABHD15"	447.580981656685	0.296613184847208	0.110076866291302	2.69460055360103	0.00704730590478782	0.140899815166027
"ABHD17A"	882.653531418535	-0.034045918194702	0.127966527585701	-0.266053309697733	0.790198152824366	0.999968143772177
"ABHD17AP1"	8.58103302746235	0.127189970401651	0.818835839045974	0.155330243666227	0.876560973965098	0.999968143772177
"ABHD17AP3"	3.03296023767254	-0.159801091479441	1.11355765361164	-0.143505000357325	0.885891362410585	0.999968143772177
"ABHD17B"	1142.50938872468	0.404147210255205	0.10327102085272	3.9134619462277	9.09822440055393e-05	0.00491847587713609
"ABHD17C"	535.991771701561	-0.139244144831648	0.131096410552867	-1.06215070454195	0.28816727458809	0.999968143772177
"ABHD2"	1691.11035632194	0.191865985411494	0.0700284620955832	2.73982863067324	0.00614712264374619	0.128296942420574
"ABHD3"	778.053801593186	0.21025198416979	0.101578689801696	2.06984343448658	0.038467008450942	0.454406470171648
"ABHD4"	796.303876417809	0.154050143799453	0.179354304869033	0.858915228781057	0.390387286878843	0.999968143772177
"ABHD5"	862.846085656203	0.100413125729731	0.112647581266883	0.891391760039954	0.372719036720728	0.999968143772177
"ABHD6"	653.259151819535	0.118239920644174	0.098887682072807	1.19569918280741	0.231813970384399	0.999968143772177
"ABHD8"	18.8092187288057	0.345281816857792	0.279527150059571	1.23523534935411	0.216742926839177	0.999968143772177
"ABI1"	2194.01528649362	0.133821594682491	0.067652468033637	1.97807409799084	0.0479203481354133	0.522680134999422
"ABI2"	3217.55210822431	-0.315825544885748	0.18872748667687	-1.67344752185721	0.0942392292782246	0.783738657266022
"ABI3"	7.41002813518047	0.157455289921629	0.453726346027669	0.34702699391414	0.728571039263671	0.999968143772177
"ABI3BP"	3.15193074597125	0.402283827890023	0.649806727707999	0.619082275908346	0.535862158880083	0.999968143772177
"ABL1"	4190.33503628368	-0.0764801139799605	0.0597487890642767	-1.28002784956335	0.200535341535157	0.999968143772177
"ABL2"	1530.11300863711	-0.0408936950024308	0.0919318743258509	-0.444826076943496	0.656445447805417	0.999968143772177
"ABLIM1"	3328.97522036661	-0.530944989806217	0.215756972702072	-2.4608474208589	0.0138609299265329	0.22737902839051
