gene_name	LSK_F_WT_1	LSK_F_WT_2	LSK_F_KO_1	LSK_F_KO_2
Rftn2	1064	1459	1154	1149
Mars2	1378	1315	2012	1402
Boll	65	24	63	20
Plcl1	198	467	156	279
9130227L01Rik	0	13	0	11
1700003I22Rik	0	0	0	0
Hsfy2	0	0	0	0
Satb2	12	25	4	11
9130024F11Rik	1	2	0	11
BC055402	0	0	0	0
4930558J18Rik	53	51	84	56
1700066M21Rik	620	1033	862	561
Tyw5	783	1086	795	844
9430016H08Rik	1167	1685	1295	1391
Spats2l	5	24	0	0
Kctd18	1731	1853	1635	1426
Sgol2a	947	1029	1411	1339
Aox1	0	0	0	4
Aox3	0	3	0	0
Aox4	42	79	49	78
Aox2	0	13	3	3
Bzw1	18987	18889	20751	17027
Clk1	13303	19923	9315	9826
Ppil3	1369	1582	1370	1443
Nif3l1	3341	3569	3785	3529
Orc2	3440	3929	3815	3878
Fam126b	1205	1617	1284	1097
Ndufb3	897	1143	843	935
Gm20257	349	580	326	359
Als2cr12	0	0	0	0
Cflar	1598	1899	1691	1438
Casp8	10518	12026	12280	12480
Trak2	1190	773	1884	790
Stradb	2734	3062	3141	2710
Als2cr11	0	0	0	0
Tmem237	1970	1601	1714	1617
Mpp4	39	34	56	30
Als2	1956	1446	2401	1076
Cdk15	0	0	0	0
Fzd7	603	1327	1063	1097
Gm973	616	1131	556	878
Sumo1	2491	3158	2491	2269
Nop58	14779	14264	14593	13299
Snord70	0	4	4	8
Snord11	0	0	0	0
Bmpr2	303	298	236	380
Fam117b	2910	3646	3772	3083
Ica1l	107	160	45	121
Wdr12	4700	5194	5203	4456
Carf	554	623	582	423
Nbeal1	197	197	357	189
Cyp20a1	2196	2033	2139	2056
Abi2	3110	4109	3671	3515
Raph1	66	86	21	116
Cd28	122	58	79	144
Ctla4	156	102	56	25
Icos	167	179	211	247
9530026F06Rik	0	0	0	0
Pard3b	1390	1230	1011	1100
Nrp2	7	100	48	49
4930487H11Rik	0	0	0	0
Ino80d	1116	1273	823	1034
Ino80dos	416	481	398	365
Ndufs1	7488	7777	7757	7615
Eef1b2	5012	6084	5032	4946
Snora41	29	38	11	20
Gpr1	0	0	0	0
